IAU_Name,RA_deg,Dec_deg,Cross_ID,Spectral_Type,Crowding_Category,d_arcsec,Delta_m12_F275W,F_WR_F275W,F_WR_F475W,F_WR_F814W,mag_F275W,e_mag_F275W,mag_F336W,e_mag_F336W,mag_F475W,e_mag_F475W,mag_F814W,e_mag_F814W,mag_F110W,e_mag_F110W,mag_F160W,e_mag_F160W,Coord_Source,DEIMOS_Flag
M33 J013339.91+303138.3,23.4163,30.5273,MC 37,WN4b,Isolated,0.1500,2.4700,0.7860,,,,,,,,,,,,,,,PHATTER,0
M33 J013339.99+303121.2,23.4166,30.5226,MJ G3,WNE+abs,Isolated,0.1700,4.6600,0.8760,,,,,,,,,,,,,,,PHATTER,0
M33 J013340.04+304238.5,23.4168,30.7107,AM 9,WC5,Isolated,0.2160,2.1700,0.4460,,,,,,,,,,,,,,,PHATTER,0
M33 J013340.15+303134.4,23.4173,30.5262,MC 42,WC4,Isolated,0.1310,5.1400,0.8840,,,,,,,,,,,,,,,PHATTER,0
M33 J013340.18+303551.6,23.4174,30.5977,MC 40,WC4-5,Isolated,0.1290,4.5900,0.8360,,,,,,,,,,,,,,,PHATTER,0
M33 J013340.19+304101.9,23.4175,30.6839,MC 38,WN,Isolated,0.1000,1.9600,0.4430,,,,,,,,,,,,,,,PHATTER,0
M33 J013340.24+304053.4,23.4177,30.6815,AM 10,WC,Isolated,0.1150,4.7900,0.6590,,,,,,,,,,,,,,,PHATTER,0
M33 J013340.29+304600.8,23.4179,30.7669,MJ B13,WN3+neb,Isolated,0.0260,3.5100,0.7140,,,,,,,,,,,,,,,PHATTER,0
M33 J013340.65+304253.7,23.4194,30.7149,AM 11,WN,Isolated,0.0750,4.2100,0.7340,,,,,,,,,,,,,,,PHATTER,0
M33 J013341.62+303855.2,23.4234,30.6487,MJ C3,WN,Isolated,0.1420,5.9800,0.7270,,,,,,,,,,,,,,,PHATTER,0
M33 J013341.80+304154.8,23.4241,30.6985,AM 13,WC6-7,Isolated,0.0660,1.0900,0.5740,,,,,,,,,,,,,,,PHATTER,0
M33 J013341.86+304202.7,23.4244,30.7007,MCA 7,WN,Moderately Crowded,0.2230,1.7300,0.5600,,,,,,,,,,,,,,,PHATTER,0
M33 J013342.49+303314.5,23.4270,30.5540,MC 44,WC4-5,Isolated,0.1730,2.9500,0.8210,,,,,,,,,,,,,,,PHATTER,0
M33 J013343.15+303906.2,23.4298,30.6517,W91 129,WN 7+abs,Isolated,0.1220,2.7400,0.8850,,,,,,,,,,,,,,,PHATTER,0
M33 J013343.18+303900.4,23.4299,30.6501,MJ C4,WC5,Isolated,0.0450,3.1600,0.8590,,,,,,,,,,,,,,,PHATTER,0
M33 J013343.29+304450.5,23.4304,30.7473,MCA 8,WN4,Isolated,0.1250,4.2600,0.8150,,,,,,,,,,,,,,,PHATTER,0
M33 J013343.30+303533.9,23.4304,30.5927,UIT 177,WN4.5+O6-9,Moderately Crowded,0.1170,0.4700,0.4590,,,,,,,,,,,,,,,PHATTER,0
M33 J013344.36+303845.9,23.4348,30.6461,MC 45,WC4,Isolated,0.1470,1.9400,0.5140,,,,,,,,,,,,,,,PHATTER,0
M33 J013345.20+303841.1,23.4383,30.6448,MCA 9,WN7,Isolated,0.1230,3.8700,0.6390,,,,,,,,,,,,,,,PHATTER,0
M33 J013345.55+303451.7,23.4398,30.5810,MCA 10,WNL,Isolated,0.1380,3.4100,0.5660,,,,,,,,,,,,,,,PHATTER,0
M33 J013345.95+303602.5,23.4414,30.6007,MC 46,WN4b,Isolated,0.1700,3.0700,0.8030,0.7460,0.5110,,,,,,,,,,,,,PHATTER,0
M33 J013346.16+303436.2,23.4423,30.5767,MCA 11,WNE,Isolated,0.1670,6.1400,0.5970,,,,,,,,,,,,,,,PHATTER,0
M33 J013346.52+303700.3,23.4438,30.6168,MC 47,WC6,Isolated,0.0720,3.5200,0.6800,,,,,,,,,,,,,,,PHATTER,0
M33 J013346.76+303334.2,23.4448,30.5595,MC 48,WN6/C4,Isolated,0.1980,5.9100,0.7460,,,,,,,,,,,,,,,PHATTER,0
M33 J013347.11+303702.6,23.4463,30.6174,MC 49,WC6,Isolated,0.1340,6.9500,0.7120,,,,,,,,,,,,,,,PHATTER,0
M33 J013347.63+304351.2,23.4485,30.7309,OB 66 F-61,WN6,Isolated,0.0600,4.4100,0.9050,,,,,,,,,,,,,,,PHATTER,0
M33 J013347.79+303337.8,23.4491,30.5605,MJ G8,WN4,Isolated,0.1800,6.6700,0.8770,,,,,,,,,,,,,,,PHATTER,0
M33 J013347.93+304506.6,23.4497,30.7518,MC 51,WN,Isolated,0.1380,5.4800,0.6880,,,,,,,,,,,,,,,PHATTER,0
M33 J013348.81+303949.6,23.4534,30.6638,MJ X4,WN,Isolated,0.1700,1.6200,0.4670,,,,,,,,,,,,,,,PHATTER,0
M33 J013350.05+303818.9,23.4585,30.6386,MJ X6,WN+O8-9,Isolated,0.0810,3.2100,0.8520,0.8030,0.4730,,,,,,,,,,,,,PHATTER,0
M33 J013350.05+303856.2,23.4585,30.6489,MC 52,WC7+abs,Isolated,0.0980,5.4800,0.7010,,,,,,,,,,,,,,,PHATTER,0
M33 J013350.17+303342.3,23.4590,30.5618,MJ G9,WN8-9,Moderately Crowded,0.3750,2.7800,0.2490,,,,,,,,,,,,,,,PHATTER,0
M33 J013350.22+304134.7,23.4592,30.6930,MC 53,WC5-6,Isolated,0.1500,4.1200,0.7930,,,,,,,,,,,,,,,PHATTER,0
M33 J013350.36+303833.8,23.4598,30.6427,UIT 213,B1 Ia+WN,Very Crowded,0.3980,0.2700,0.0890,,,,,,,,,,,,,,,PHATTER,0
M33 J013350.68+305636.6,23.4612,30.9435,---,WN3+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
